mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1.6758388876914978,0.6138205193750556,0.12176460027694702,0.011842661654942598,0.08458637582367363,4,22,140,34,"{'learning_rate': 0.08458637582367363, 'max_depth': 4, 'min_child_samples': 22, 'n_estimators': 140, 'num_leaves': 34}",-2.079690454199669,-2.0336549205865424,-2.082083505601851,-1.9633459530834318,-2.0396937083678734,0.04811985370279065,11
2.095544397830963,0.7504032323007562,0.16330218315124512,0.004330158597925988,0.06557333586649448,4,21,188,36,"{'learning_rate': 0.06557333586649448, 'max_depth': 4, 'min_child_samples': 21, 'n_estimators': 188, 'num_leaves': 36}",-2.077363516923673,-2.0369888933036293,-2.079087841673469,-1.965646394150532,-2.039771661512826,0.045992414255211264,12
2.2808976769447327,0.7033143475135825,0.16867482662200928,0.008762984228482651,0.06565474083997785,8,29,163,22,"{'learning_rate': 0.06565474083997785, 'max_depth': 8, 'min_child_samples': 29, 'n_estimators': 163, 'num_leaves': 22}",-2.078777586947762,-2.0373769159219455,-2.085818167432748,-1.95817495998684,-2.0400369075723237,0.05075730984534824,13
2.028730869293213,0.6460950537805885,0.15618032217025757,0.011519369524984011,0.05722971942325503,6,19,114,34,"{'learning_rate': 0.05722971942325503, 'max_depth': 6, 'min_child_samples': 19, 'n_estimators': 114, 'num_leaves': 34}",-2.074876362728204,-2.0321582761834907,-2.088987138868323,-1.9641688308924803,-2.040047652168125,0.04854881617857633,14
2.5968631505966187,0.7843486763111047,0.23310863971710205,0.022183454635073915,0.06619186433204138,4,30,233,31,"{'learning_rate': 0.06619186433204138, 'max_depth': 4, 'min_child_samples': 30, 'n_estimators': 233, 'num_leaves': 31}",-2.0824003064530627,-2.0338243014588704,-2.0824087233651936,-1.9629723004948145,-2.0404014079429853,0.04890564137950867,15
2.1111801266670227,0.6723718967954194,0.1300145387649536,0.006324473915542283,0.025602818815699487,-1,13,149,27,"{'learning_rate': 0.025602818815699487, 'max_depth': -1, 'min_child_samples': 13, 'n_estimators': 149, 'num_leaves': 27}",-2.072385298696527,-2.037580819427916,-2.0897908622151307,-1.963989987112021,-2.0409367418628985,0.04823847552625826,16
2.3997315168380737,0.709450183725608,0.19302219152450562,0.014303010504031596,0.0638792635777333,6,28,174,30,"{'learning_rate': 0.0638792635777333, 'max_depth': 6, 'min_child_samples': 28, 'n_estimators': 174, 'num_leaves': 30}",-2.083818741488389,-2.0352041336071087,-2.086129179473294,-1.9596567025123917,-2.041202189270296,0.05128413023046206,17
1.727827548980713,0.5697448282067278,0.12676286697387695,0.002045797051490239,0.07798252692858872,4,15,153,29,"{'learning_rate': 0.07798252692858872, 'max_depth': 4, 'min_child_samples': 15, 'n_estimators': 153, 'num_leaves': 29}",-2.077562985064938,-2.0350328639540898,-2.083600886326601,-1.968669690521815,-2.041216606466861,0.04587695527447668,18
1.8177836537361145,0.5213630164512015,0.10426270961761475,0.006300991307988356,0.030780444305993408,8,24,107,34,"{'learning_rate': 0.030780444305993408, 'max_depth': 8, 'min_child_samples': 24, 'n_estimators': 107, 'num_leaves': 34}",-2.068424400367701,-2.0413720081745064,-2.0971537805086387,-1.9609315135049876,-2.0419704256389584,0.050775680243944576,19
2.0762723088264465,0.6412313744979253,0.14827197790145874,0.0024834351022774794,0.07561064512368885,-1,14,140,26,"{'learning_rate': 0.07561064512368885, 'max_depth': -1, 'min_child_samples': 14, 'n_estimators': 140, 'num_leaves': 26}",-2.092207053463192,-2.0389338819789318,-2.0807997487625363,-1.9614389459518309,-2.043344907539123,0.05127966976640871,20
2.3942078351974487,0.8315736576977072,0.18799877166748047,0.0064575492202137656,0.08739463660626884,6,30,172,26,"{'learning_rate': 0.08739463660626884, 'max_depth': 6, 'min_child_samples': 30, 'n_estimators': 172, 'num_leaves': 26}",-2.0934820951478956,-2.036010292650719,-2.087244841888995,-1.9645611630535962,-2.045324598185301,0.051686410418368314,21
2.5630675554275513,0.7760824503892843,0.23429816961288452,0.014688655808973205,0.06738017242196918,6,12,200,34,"{'learning_rate': 0.06738017242196918, 'max_depth': 6, 'min_child_samples': 12, 'n_estimators': 200, 'num_leaves': 34}",-2.0941987660584065,-2.041149926971678,-2.0867690402332344,-1.9630991870417045,-2.046304230076256,0.05215585649009429,22
2.0225402116775513,0.525064874811335,0.17188888788223267,0.02876630706080436,0.08650347200108192,8,11,132,35,"{'learning_rate': 0.08650347200108192, 'max_depth': 8, 'min_child_samples': 11, 'n_estimators': 132, 'num_leaves': 35}",-2.0953814904076014,-2.0398182618755527,-2.091773861972039,-1.9627811869640794,-2.0474387003048182,0.05359357081262106,23
2.785115897655487,0.7395875284832607,0.2534686326980591,0.020162486204674993,0.07419203085006955,-1,14,241,26,"{'learning_rate': 0.07419203085006955, 'max_depth': -1, 'min_child_samples': 14, 'n_estimators': 241, 'num_leaves': 26}",-2.104464777594195,-2.0438055549702483,-2.0888817527569707,-1.9677897128851984,-2.051235449551653,0.053077772678837336,24
3.0960052013397217,1.0753216850971732,0.3266586661338806,0.05637761200896388,0.09168098265334837,6,16,242,30,"{'learning_rate': 0.09168098265334837, 'max_depth': 6, 'min_child_samples': 16, 'n_estimators': 242, 'num_leaves': 30}",-2.1116184421985893,-2.039990951267486,-2.0916540852923613,-1.9651040854221842,-2.052091891045155,0.05661688921266921,25
3.175201714038849,0.9200891220974717,0.3119809627532959,0.02306521954263768,0.08795585311974416,8,17,230,40,"{'learning_rate': 0.08795585311974416, 'max_depth': 8, 'min_child_samples': 17, 'n_estimators': 230, 'num_leaves': 40}",-2.1074736427312835,-2.0449246842165403,-2.102542473116162,-1.9620726612601818,-2.054253365331042,0.058627089198546166,26
2.916865289211273,0.8928086352979087,0.16336971521377563,0.011077288969305371,0.013639023058458821,6,24,189,29,"{'learning_rate': 0.013639023058458821, 'max_depth': 6, 'min_child_samples': 24, 'n_estimators': 189, 'num_leaves': 29}",-2.0831961182557994,-2.0611661274777098,-2.112767110552518,-1.971624962985645,-2.057188579817918,0.052683770140861945,27
1.7248399257659912,0.4436316328008493,0.09126031398773193,0.003192208616550336,0.024874024515670223,-1,16,108,20,"{'learning_rate': 0.024874024515670223, 'max_depth': -1, 'min_child_samples': 16, 'n_estimators': 108, 'num_leaves': 20}",-2.0816288444814477,-2.0644793920183213,-2.1155887581716777,-1.9739851139617077,-2.0589205271582887,0.052373374617361995,28
3.3297935128211975,0.9755342291887513,0.31373047828674316,0.025152434570235336,0.09729188669457949,8,15,229,40,"{'learning_rate': 0.09729188669457949, 'max_depth': 8, 'min_child_samples': 15, 'n_estimators': 229, 'num_leaves': 40}",-2.1186165916705026,-2.047802744837412,-2.1011498483995794,-1.9704128447195126,-2.0594955074067514,0.05766894358322267,29
2.061787486076355,0.6632440680165548,0.10305345058441162,0.00823207322904019,0.011193846504387988,-1,23,108,40,"{'learning_rate': 0.011193846504387988, 'max_depth': -1, 'min_child_samples': 23, 'n_estimators': 108, 'num_leaves': 40}",-2.2595688117682977,-2.2621528856567497,-2.312113810205336,-2.1570334299796854,-2.247717234402517,0.05638997976794609,30
