colsample_bytree,learning_rate,max_depth,min_child_samples,min_split_gain,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,subsample_freq,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
0.7555236269814829,0.1,"""8""",10.0,0.5116174422914869,100.0,40.0,0.6682117864390661,1.4150180120823637,0.7000165200357314,1.0,lightgbm-hpo-20260802-131443-020-1f76258f,Completed,1.986108422279358,2026-08-02 14:09:07+05:30,2026-08-02 14:13:02+05:30,235.0
0.7590534219739528,0.1,"""-1""",15.0,0.5596071012629376,280.0,30.0,0.3878048899448767,1.8054231471407953,0.9697029951046401,1.0,lightgbm-hpo-20260802-131443-019-f3386aac,Completed,1.9784075021743774,2026-08-02 14:07:48+05:30,2026-08-02 14:12:03+05:30,255.0
0.9530921581136822,0.03267909320411511,"""8""",40.0,0.0,300.0,20.0,0.7906172495186947,0.6549635254617302,0.9225198625535859,1.0,lightgbm-hpo-20260802-131443-018-3a1e981a,Stopped,1.9903889894485474,2026-08-02 14:02:38+05:30,2026-08-02 14:07:28+05:30,290.0
0.7250867274160874,0.046233560377819,"""6""",40.0,0.7363375558981576,151.0,30.0,0.0,1.7492705337679406,0.8941283777761121,3.0,lightgbm-hpo-20260802-131443-017-4ced5c04,Completed,1.9884167909622192,2026-08-02 14:02:06+05:30,2026-08-02 14:08:46+05:30,400.0
0.7905882064279042,0.06920008952830778,"""-1""",25.0,0.8133532963729803,300.0,25.0,0.1753595894078516,1.115282001666668,0.8565677065748494,4.0,lightgbm-hpo-20260802-131443-016-76843a28,Completed,1.9826006889343262,2026-08-02 13:56:52+05:30,2026-08-02 14:02:22+05:30,330.0
0.7696122749903157,0.06061355185953434,"""4""",26.0,0.0773940096521043,146.0,39.0,0.9758191009260683,1.2237938441900873,0.7679173014509959,1.0,lightgbm-hpo-20260802-131443-015-1a5b74e0,Completed,2.003075361251831,2026-08-02 13:56:39+05:30,2026-08-02 14:01:04+05:30,265.0
0.9012206688068383,0.05120832569787936,"""-1""",32.0,0.9054471967246441,210.0,27.0,0.7128331431303284,1.2755297009719508,0.9368125551975388,5.0,lightgbm-hpo-20260802-131443-014-934b1b03,Completed,1.9833959341049194,2026-08-02 13:51:32+05:30,2026-08-02 13:56:27+05:30,295.0
0.9081430199444787,0.03196409582096348,"""6""",18.0,0.5503295349985037,246.0,32.0,0.540445032448828,0.9639210043868067,0.7,1.0,lightgbm-hpo-20260802-131443-013-c6d30c3b,Completed,1.9886095523834229,2026-08-02 13:51:06+05:30,2026-08-02 13:55:45+05:30,279.0
0.976495310204692,0.04046290004817399,"""8""",13.0,0.9349856591481364,114.0,29.0,0.7998280010005286,1.8908811786087254,0.9278255416033578,1.0,lightgbm-hpo-20260802-131443-012-689b331a,Completed,1.9963352680206299,2026-08-02 13:46:36+05:30,2026-08-02 13:51:16+05:30,280.0
0.8837916206142027,0.015932760987631054,"""8""",10.0,1.0,100.0,35.0,1.0,1.8800033292293896,0.913507839138609,2.0,lightgbm-hpo-20260802-131443-011-b31e6ee1,Completed,2.132802963256836,2026-08-02 13:46:34+05:30,2026-08-02 13:50:19+05:30,225.0
0.9876848111040936,0.01500207221589583,"""-1""",33.0,0.42493837422677716,159.0,30.0,0.8523708027466975,0.6721152778045036,0.710898638439653,1.0,lightgbm-hpo-20260802-131443-010-bbf29b7f,Stopped,2.0434744358062744,2026-08-02 13:42:44+05:30,2026-08-02 13:46:19+05:30,215.0
