border_count,depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,random_strength,rsm,subsample,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
"""255""",7.0,189.0,1.1895170314301426,0.08443121878261307,9.0,1.4007355159416757,0.811067408268358,0.9421710211098099,Catboostt-hpo-20260802-213535-023-b22a256a,Completed,1.9945573806762695,2026-08-02 23:39:04+05:30,2026-08-02 23:46:04+05:30,420.0
"""255""",8.0,167.0,1.0,0.1,18.0,0.9491823150116953,0.7736461862778838,0.7281948910468002,Catboostt-hpo-20260802-213535-022-cc87e498,Completed,2.0045878887176514,2026-08-02 23:31:58+05:30,2026-08-02 23:38:24+05:30,386.0
"""255""",7.0,178.0,1.0,0.08894101557848919,5.0,2.798792221111956,0.8009864414232702,0.9164947760169949,Catboostt-hpo-20260802-213535-021-7e4bbf08,Completed,1.991447925567627,2026-08-02 23:24:55+05:30,2026-08-02 23:31:25+05:30,390.0
"""128""",7.0,250.0,3.978497243982246,0.03,30.0,0.9542423613032325,0.8862725188191252,0.8696631543858857,Catboostt-hpo-20260802-213535-020-1d8a6ab8,Completed,2.0050506591796875,2026-08-02 23:23:11+05:30,2026-08-02 23:49:42+05:30,1591.0
"""128""",7.0,250.0,1.0,0.05714235514807305,30.0,4.800238791602871,0.9077101871726413,0.6662337967978089,Catboostt-hpo-20260802-213535-019-4da6d543,Failed,,2026-08-02 23:11:59+05:30,2026-08-02 23:24:27+05:30,748.0
"""128""",5.0,239.0,6.564068830328232,0.06453797895040211,28.0,3.5417153118263522,0.7765841517068499,0.7487666540282998,Catboostt-hpo-20260802-213535-018-fe789fdf,Completed,2.0066940784454346,2026-08-02 23:05:56+05:30,2026-08-02 23:21:28+05:30,932.0
"""64""",7.0,230.0,3.6207107883683562,0.06935373072904308,7.0,0.3529040989761423,0.9854677720421056,0.8865002257218038,Catboostt-hpo-20260802-213535-017-109c39a6,Failed,,2026-08-02 22:58:56+05:30,2026-08-02 23:11:23+05:30,747.0
"""255""",6.0,166.0,5.70529415844124,0.061900734090761446,29.0,2.217630239704214,0.7061485524008777,0.8639073819846825,Catboostt-hpo-20260802-213535-016-5c5c6cab,Completed,2.0140957832336426,2026-08-02 22:53:15+05:30,2026-08-02 22:58:20+05:30,305.0
"""128""",7.0,201.0,8.062162043028419,0.0338222929113191,6.0,4.602337310210494,0.822984235697596,0.7624831909077889,Catboostt-hpo-20260802-213535-015-6f63539e,Completed,2.013965368270874,2026-08-02 22:46:14+05:30,2026-08-02 23:05:37+05:30,1163.0
"""255""",4.0,165.0,2.4972705907955604,0.06178447054168864,15.0,3.6348809950857683,0.7105795692831827,0.8414208407873144,Catboostt-hpo-20260802-213535-014-f416c6c3,Completed,2.0231337547302246,2026-08-02 22:41:47+05:30,2026-08-02 22:45:47+05:30,240.0
"""128""",5.0,246.0,8.406147237704014,0.058047850529338835,8.0,2.040945542772344,0.6630077043803687,0.7066051815463354,Catboostt-hpo-20260802-213535-013-98db5a4d,Completed,2.011934280395508,2026-08-02 22:37:57+05:30,2026-08-02 22:52:24+05:30,867.0
"""64""",6.0,115.0,7.936260041920351,0.05751371058266844,6.0,0.8549877051353777,0.7744756527660267,0.8734742044068634,Catboostt-hpo-20260802-213535-012-8b7895fd,Stopped,2.0319039821624756,2026-08-02 22:33:30+05:30,2026-08-02 22:37:30+05:30,240.0
"""255""",5.0,146.0,2.4633617954274363,0.04239825436720616,27.0,0.07220464789324477,0.7804260042579487,0.9652581041563004,Catboostt-hpo-20260802-213535-011-9867a75f,Completed,2.0215609073638916,2026-08-02 22:28:20+05:30,2026-08-02 22:32:50+05:30,270.0
