colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
0.9723627152859464,0.8170116333904687,0.07120723908509624,8.0,6.0,227.0,0.14285420584168174,2.91833534247665,0.7235782182452949,Xgboost-hpo-20260802-161000-020-a7a85518,Stopped,1.989403486251831,2026-08-02 17:15:54+05:30,2026-08-02 17:22:33+05:30,399.0
0.7616659677154478,2.948971395933257,0.09407001428406339,10.0,12.0,106.0,0.8078607231711052,3.153131930263327,0.7085556776923888,Xgboost-hpo-20260802-161000-019-e1dc08d6,Stopped,1.9853050708770752,2026-08-02 17:15:49+05:30,2026-08-02 17:20:43+05:30,294.0
0.6002286465013508,2.4437937289435485,0.03052832417904088,10.0,5.0,127.0,0.8944924302512662,1.7682167093798666,0.9109292752712874,Xgboost-hpo-20260802-161000-018-314350c7,Completed,1.9887561798095703,2026-08-02 17:07:41+05:30,2026-08-02 17:14:31+05:30,410.0
0.6155918346876958,2.097702876738095,0.04290936450403099,10.0,12.0,244.0,0.7244137367086134,4.967402820423701,0.9990243711091703,Xgboost-hpo-20260802-161000-017-7cae795e,Completed,1.9776217937469482,2026-08-02 17:06:13+05:30,2026-08-02 17:15:29+05:30,556.0
0.6430011758233989,1.8851230961121752,0.04207928366322871,10.0,11.0,198.0,0.9443197532443477,0.6254392572527134,0.920919252701866,Xgboost-hpo-20260802-161000-016-41881c98,Completed,1.9763028621673584,2026-08-02 16:59:17+05:30,2026-08-02 17:07:23+05:30,486.0
0.7012550368498496,1.2624394241972414,0.08086718543157201,10.0,9.0,232.0,0.8630264153396081,2.926341552452725,0.9804546611637514,Xgboost-hpo-20260802-161000-015-0d091a66,Completed,1.980470895767212,2026-08-02 16:59:01+05:30,2026-08-02 17:05:39+05:30,398.0
0.732212562378252,1.3090673969943245,0.03616392816952696,10.0,13.0,146.0,0.9152781920862892,1.136966450538031,0.8284598902575726,Xgboost-hpo-20260802-161000-014-9c046573,Completed,1.9782520532608032,2026-08-02 16:51:46+05:30,2026-08-02 16:59:02+05:30,436.0
0.7141369029939308,1.7332281690455698,0.03506977711941427,10.0,11.0,144.0,0.961467810045651,1.6296772623581242,0.8616626931437634,Xgboost-hpo-20260802-161000-013-eb3844d4,Completed,1.9772943258285522,2026-08-02 16:51:31+05:30,2026-08-02 16:58:42+05:30,431.0
0.6291919944959017,1.1276337385117603,0.05178764256033825,10.0,10.0,124.0,1.0,1.233732662060181,0.7494129600462276,Xgboost-hpo-20260802-161000-012-c0f3518c,Completed,1.9779125452041626,2026-08-02 16:44:45+05:30,2026-08-02 16:51:30+05:30,405.0
0.894551222065824,0.5681062164679707,0.0390517998966227,10.0,10.0,282.0,0.8977733382542028,4.638600606548686,0.869835547499566,Xgboost-hpo-20260802-161000-011-2fd41705,Completed,1.9817028045654297,2026-08-02 16:40:47+05:30,2026-08-02 16:50:48+05:30,601.0
0.9884700935714684,4.951411695632152,0.03052575074274351,10.0,5.0,106.0,0.8899056598579839,1.6495523420183593,0.8312475866762172,Xgboost-hpo-20260802-161000-010-f8fd83ff,Stopped,2.0107007026672363,2026-08-02 16:37:29+05:30,2026-08-02 16:44:18+05:30,409.0
0.6037845429827946,4.028064990814684,0.04806226516093963,10.0,5.0,109.0,0.7050423576656263,1.0211984902565363,0.984488379675361,Xgboost-hpo-20260802-161000-009-1ab1982f,Completed,1.986554741859436,2026-08-02 16:34:40+05:30,2026-08-02 16:40:25+05:30,345.0
0.6552058500921301,0.5425673391465352,0.0762996291372493,10.0,12.0,183.0,0.1384908386390885,2.3666219673060294,0.9988852930719614,Xgboost-hpo-20260802-161000-008-eeccf38d,Stopped,1.9824672937393188,2026-08-02 16:31:26+05:30,2026-08-02 16:37:11+05:30,345.0
0.6422673378561853,0.7110126631286301,0.047922379407179826,10.0,12.0,119.0,0.9918152088318721,1.7076328754071624,0.9182456712592559,Xgboost-hpo-20260802-161000-007-4a367430,Completed,1.9784759283065796,2026-08-02 16:27:30+05:30,2026-08-02 16:34:15+05:30,405.0
0.6825798730347984,0.01968579592346087,0.09745380941551458,10.0,12.0,293.0,0.7468860921877397,1.8963883600715747,0.6536814440222048,Xgboost-hpo-20260802-161000-006-5d2ec0c4,Completed,1.980999231338501,2026-08-02 16:25:36+05:30,2026-08-02 16:30:56+05:30,320.0
0.9186752598070596,0.4916893317750576,0.03876693092150058,4.0,6.0,268.0,0.6451557238460516,4.469590349891745,0.8061509496131568,Xgboost-hpo-20260802-161000-005-9e50d90e,Completed,2.010105848312378,2026-08-02 16:19:43+05:30,2026-08-02 16:24:53+05:30,310.0
0.7179082975917046,2.3022132548627425,0.05086277625775644,10.0,10.0,276.0,0.3391793389953829,3.1501695880787492,0.9428517182997341,Xgboost-hpo-20260802-161000-004-38ba4c5a,Completed,1.978977918624878,2026-08-02 16:18:59+05:30,2026-08-02 16:27:09+05:30,490.0
0.7016153425100473,3.2329757285501417,0.05413850135402366,4.0,14.0,155.0,0.3271409363455988,2.861731827876529,0.9762269433666854,Xgboost-hpo-20260802-161000-003-9f2d7093,Stopped,2.0079715251922607,2026-08-02 16:16:12+05:30,2026-08-02 16:19:31+05:30,199.0
0.689306382831851,0.5346968129955076,0.04958534329161307,10.0,11.0,164.0,0.03206254955252952,2.320691904877651,0.6126731555435198,Xgboost-hpo-20260802-161000-002-8f4f6d35,Completed,1.98139226436615,2026-08-02 16:11:01+05:30,2026-08-02 16:18:46+05:30,465.0
0.6038947665259551,1.87613774757605,0.09467064174751465,5.0,13.0,146.0,0.39757058963317427,2.618285250502323,0.6356399934355682,Xgboost-hpo-20260802-161000-001-0036fdb7,Completed,1.9935659170150757,2026-08-02 16:10:56+05:30,2026-08-02 16:15:31+05:30,275.0
